,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
1221,BMW X3 4dr SUV,7,Features/Controls/Displays (FCD),D,Difficult to engage. Doesn't recognize parking spot fast enough and also has to correct too many times going forward and backward several times.,-0.0258
1130,BMW X3 4dr SUV,1,Seats,D,"my driver's seat does not get as hot as the car I owned previously, which was the same model, x3, before the redesign. It's warm but not as warm as my last car. I plan on mentioning this to the dealer/service dept.",0.4215
1222,BMW X3 4dr SUV,7,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1224,BMW X3 4dr SUV,7,Interior,M,Putting luggage on rear compartment cover dented and damaged immediately. Protrusion is luggage dug into it.,-0.4404
1225,BMW X3 4dr SUV,5,Exterior,M,"This is not NOISE per se, but the car does seem to wiggle left and right upon windy conditions.",0.0
1226,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,"It takes a pretty strong effort to make the horn beep. Maybe by design, but still not easy to operate.",0.0364
1227,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,"This is a small thing, but wearing sunglasses , makes the display almost not visible. Polarized ones especially.",0.0
1228,BMW X3 4dr SUV,5,Interior,M,There is a little netting on the side of the cargo area. The hinge popped out and I have not been able to realign it since.,0.0
1229,BMW X3 4dr SUV,5,Interior,M,,0.0
1236,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,it just does not matter what temp you set it at it will not cool enough,-0.2584
1237,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,it really does not appear to cool very well.  worried about an Arizona summer,-0.261
1238,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,it really does not cool well,-0.466
1239,BMW X3 4dr SUV,1,Interior,D,"to smal,l does not cover the floor properly, with snow or wetness it leaves white water and snow residue ont he carpet, looks bad",-0.5423
1223,BMW X3 4dr SUV,7,Interior,M,"Bottom of front and rear doors don't align. I've taken this in, but it still isn't perfect.",-0.612
1184,BMW X3 4dr SUV,6,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
1185,BMW X3 4dr SUV,6,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
1183,BMW X3 4dr SUV,6,Seats,D,,0.0
1142,BMW X3 4dr SUV,6,Exterior,M,Bottom plastic trim piece rattles when closing the door.,0.0
1143,BMW X3 4dr SUV,6,Exterior,M,When closing the doors the bottom plastic trim piece rattles.,0.0
1144,BMW X3 4dr SUV,6,Driving Experience,D,Had a previous Generation 2016 X3 M-Sport 35 and the Brakes seemed to perform better in all conditions.The vehicle takes more effort to come to a stop.,0.1779
1145,BMW X3 4dr SUV,6,Audio/Communication/Entertainment/Navigation (ACEN),U,"Issue resides with Apple Car Play. The BMW Infotainment works flawlessly when i am using it.Apple Car Play issue is as such. Whatever Audio source i am listening to  will be cut off when a message or call comes in..... after the call is over or the message is done being dictated.... I have to manually switch back to the Audio i was listening to, since Apple Car Play has now taken over.",0.7096
1146,BMW X3 4dr SUV,6,Interior,M,"Happens after i wash the car for a while and the door seals seem to make a rubbing noise.Goes away after a little while.Doors rattle when they are closed, seems to come from the plastic trim at the bottom of the door on the outside.",0.0
1147,BMW X3 4dr SUV,6,Engine/Transmission,M,The engine will shutdown before i come to a stop and as I am stopping I let up very slightly to not keep the same amount of pressure on the brakes and the car will restart .,-0.6124
1148,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),U,": Audio continued to open ap on phone, unable to stop â€œpandoraâ€ from opening. Genius stated he had heard this issue but had no solution",-0.1154
2684,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),U,I got Apple Car Play and it was not working properly. It would stop working . I took the car back twice and now it has been working for about a week. Hopefully the problem is resolved.,0.2263
2683,BMW X3 4dr SUV,3,Exterior,M,: The hood was misaligned. I took it back and it was fixed immediately. No issue,-0.296
1159,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,The heated9 steering wheel in my 2006 3-series seemed to get hotter..this one is too mildly warm,0.2263
1160,BMW X3 4dr SUV,3,Seats,D,I have the oyster interior and it appears that dyes from pants and rubbing off regularly...would have hope seats would resist that,0.4404
1161,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"When I set the heat to a high temperature it will blow the hot air as desired but then it will switch to a very cool, like to cool down, and the reheat later and continue to blow.  Fan speed does not ch age, just the temp",0.9318
2359,BMW X3 4dr SUV,6,Engine/Transmission,M,When the vehicle is oriented nose 'down' the engine lags when accelerating from a stop or near stop.,-0.7096
1166,BMW X3 4dr SUV,4,Features/Controls/Displays (FCD),M,Monitoring system indicates that the pressures are low even when the media panel has pressures well above the correct pressure levels indicated in both the owner's manual and on the sticker inside the driver's side door. Also indicates tires are too low even when the pressure is higher than another tire on the monitor screen with a lower pressure.,-0.91
1167,BMW X3 4dr SUV,4,Features/Controls/Displays (FCD),M,"The dash indicator shows the LDW is on, but it never vibrates. I changed the factory Medium setting to Strong vibrate, but that didn't help. : Difficulty getting the Bluetooth to play music from my iPhone; difficulty with the lane departure warning ",0.254
1168,BMW X3 4dr SUV,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"Not much to say. It started off brilliantly, and then started to have higher error rates. It's probably 50-50 right now in terms of accuracy.",0.3182
1169,BMW X3 4dr SUV,4,Audio/Communication/Entertainment/Navigation (ACEN),D,The phone part works fine. The issue is in getting the car to play music from my iPhone and to play podcasts. It either doesn't work or is too complicated for me to figure out. : Difficulty getting the Bluetooth to play music from my iPhone; difficulty with the lane departure warning ,0.2023
2358,BMW X3 4dr SUV,6,Interior,M,Rear facing panel of center armrest is damaged,-0.4404
2682,BMW X3 4dr SUV,3,Exterior,M,The liftgate is supposed to open with my foot and its tricky. Sometimes it doesnt work.,-0.1531
1182,BMW X3 4dr SUV,6,Seats,D,,0.0
2818,BMW X4 4dr SUV,6,Seats,M,doesnt happen all the time,0.0
2819,BMW X4 4dr SUV,6,Seats,M,the pillow from the passenger seat and the back of it,0.0
2822,BMW X4 4dr SUV,6,Interior,M,,0.0
2821,BMW X4 4dr SUV,6,Interior,M,sounds like parts are loosen and falling apart,0.2263
2820,BMW X4 4dr SUV,6,Seats,M,,0.0
2712,BMW X4 4dr SUV,1,Seats,D,The drivers seat and steering wheel has deep scuff marks.,0.0
2817,BMW X4 4dr SUV,6,Driving Experience,M,,0.0
0,BMW X4 4dr SUV,3,Exterior,D,Sweeping door under rear of car rarely opens hatch.,0.0
124,BMW X4 4dr SUV,2,Features/Controls/Displays (FCD),M,"There is no rear windshield wiper, and there really needs to be one!",-0.3595
1014,BMW X4 4dr SUV,11,Seats,D,Located next to seat. Need to 'feel' where controls are.,0.0
1013,BMW X4 4dr SUV,11,Audio/Communication/Entertainment/Navigation (ACEN),D,Some roads in my area are missing. One major highway is missing from map.,-0.5267
1012,BMW X4 4dr SUV,11,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1011,BMW X4 4dr SUV,11,Audio/Communication/Entertainment/Navigation (ACEN),D,System does not recognize my commands. Need heavy american accent for the system to understand you.,0.0
1010,BMW X4 4dr SUV,11,Features/Controls/Displays (FCD),D,Start button located behind steering wheel. The 'ECO' button is hidden next to it and one can easily switch it on or off without realizing it while starting or stopping engine.,0.2023
1009,BMW X4 4dr SUV,11,Exterior,M,Paint was stained yellow in several places on right hand side. Looked like something that was wet and ran down side of body.,0.6908
1779,BMW X4 4dr SUV,2,Features/Controls/Displays (FCD),D,Hard to reset and clearly see pressure gauge on monitor,0.0258
1780,BMW X4 4dr SUV,2,Features/Controls/Displays (FCD),D,User Unfriendly,-0.3612
926,BMW X4 4dr SUV,2,Exterior,M,,0.0
1822,BMW X4 4dr SUV,1,Features/Controls/Displays (FCD),D,I don't like how it sticks left accidentally when I'm just changing lanes. I would prefer a definite stop between lane change and turn signal.,-0.5588
925,BMW X4 4dr SUV,2,Exterior,M,,0.0
821,BMW X4 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
793,BMW X4 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
792,BMW X4 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,I think it is just a sensitivity issue.All depending of car location.This is not a life or death issue.Speed is not always good.,0.1877
1537,BMW X4 4dr SUV,2,Driving Experience,D,,0.0
763,BMW X4 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),U,Apple CarPlay takes over and does not allow for other uses such as XM Radio.,-0.1695
762,BMW X4 4dr SUV,2,Features/Controls/Displays (FCD),D,"The lights do not always go on when there is a car in the blind spot.  Therefore, they are of little use.",-0.4019
504,BMW X4 4dr SUV,6,Interior,D,Detail is covered in comments above,0.0
503,BMW X4 4dr SUV,6,Interior,D,,0.0
502,BMW X4 4dr SUV,6,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation system does not accurately display / deal with traffic conditions.,0.0
501,BMW X4 4dr SUV,6,Audio/Communication/Entertainment/Navigation (ACEN),D,"Occasionally the car searches for my phone, it will play music from the phone but still says itâ€™s not paired.",0.1779
1015,BMW X4 4dr SUV,11,Seats,D,"Located next to seat, not visible, need to 'feel' where the controls are.",0.0
500,BMW X4 4dr SUV,6,Exterior,D,Does not work consistently,0.0
1016,BMW X4 4dr SUV,11,Seats,D,"next to seat, need to 'feel' where located.",0.0
1018,BMW X4 4dr SUV,11,Seats,D,Controls are in difficult place. Can not see the controls. Would prefer it iInstalled on driver door.,-0.3612
1489,BMW X4 4dr SUV,1,Interior,M,Started hearing the rattle after the tire was replaced after a month,0.0
1573,BMW X4 4dr SUV,5,Features/Controls/Displays (FCD),D,rear doors lock soon as you park.  have to unlock to get work bag out,0.0
1574,BMW X4 4dr SUV,5,Features/Controls/Displays (FCD),D,too hard to find what things do in manual,-0.1027
1575,BMW X4 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,too hot or too cold,0.0
1576,BMW X4 4dr SUV,5,Engine/Transmission,M,auto H engaged.  went to park and light turned green,0.4019
1577,BMW X4 4dr SUV,5,Engine/Transmission,D,rides rough compared to my lexus,0.0
1581,BMW X4 4dr SUV,2,Features/Controls/Displays (FCD),D,I still have changed my clock because I cannot figure out how to do so. I am quite tech savvy but am stumped by this one!,0.0
1582,BMW X4 4dr SUV,2,Seats,D,,0.0
1385,BMW X4 4dr SUV,1,Features/Controls/Displays (FCD),M,: The passenger side mirror snapped close just like that and the plastic behind the mirror cracked.,0.3612
1333,BMW X4 4dr SUV,3,Features/Controls/Displays (FCD),D,,0.0
1332,BMW X4 4dr SUV,3,Features/Controls/Displays (FCD),D,,0.0
1331,BMW X4 4dr SUV,3,Exterior,D,Canâ€™t get it to work reliably w my foot,0.0
1312,BMW X4 4dr SUV,1,Interior,M,Panel popped out,0.0
125,BMW X4 4dr SUV,2,Features/Controls/Displays (FCD),M,"The headlight washer sprays the top, sides of the car, and the back windshield.  I wish I could turn this feature off.",0.5423
1230,BMW X4 4dr SUV,1,Seats,D,Light color seat stains easily with dark wash jeans/pants,0.34
1708,BMW X4 4dr SUV,3,Features/Controls/Displays (FCD),D,There isn't an icon shown on the dash when the heat is on. The light is in a poor location on the side of the sterring wheel and you can't see if it always on or off due to its poor location.,-0.7351
1709,BMW X4 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"It seems that Google Maps with traffic on your Iphone is more accurate when it comes to traffic and destinations times. Also, changing alternate routes in the nav system can be cumbersome at times.",0.0
1710,BMW X4 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,It seems the defrost setting can be quite loud. But it does clear the windows quite rapidly.,0.3818
1158,BMW X4 4dr SUV,2,Exterior,D,Too much wind noise.,0.0
1157,BMW X4 4dr SUV,2,Exterior,M,"This car is way too loud for a $60,000 automobile. Comparable Volvo models are MUCH quieter.",0.0
1019,BMW X4 4dr SUV,11,Seats,D,"Hard to clip in buckle, very small space between center console and body. Located too deep down.",-0.1027
1017,BMW X4 4dr SUV,11,Seats,D,"Located next to seat, have to 'feel' where control is. Tilts seat back or forth if you do not operate the button correctly.",0.0
499,BMW X4 4dr SUV,6,Exterior,M,The kick to open feature is not consistent. Sometimes it works immediately other times it doesnâ€™t work at all. When it opens sometimes it opens all the way and other times it only opens partially.,0.0
1538,BMW X4 4dr SUV,2,Engine/Transmission,D,Fuel Consumption could higher for the size of vehicle. Technology has improved for years.,0.4767
160,BMW X4 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),U,"When using phone voice commands, software does not account for this and there is very loud feedback over the speakers.  Phone is android OS",0.0
